;time;value
297;2023-07-29T08:32:00.644087Z;6.7
298;2023-07-29T08:34:40.642322Z;6.8
299;2023-07-29T08:36:20.671686Z;6.9
300;2023-07-29T08:38:00.730066Z;7.0
301;2023-07-29T08:39:20.728621Z;7.1
302;2023-07-29T08:41:00.674494Z;7.2
303;2023-07-29T08:42:40.662217Z;7.3
304;2023-07-29T08:44:00.649032Z;7.4
305;2023-07-29T08:45:40.680562Z;7.5
306;2023-07-29T08:47:00.635432Z;7.6
307;2023-07-29T08:48:20.660274Z;7.7
308;2023-07-29T08:50:00.830718Z;7.8
309;2023-07-29T08:51:20.749829Z;7.9
310;2023-07-29T08:53:00.730987Z;8.0
311;2023-07-29T08:54:40.832827Z;8.1
312;2023-07-29T08:56:20.752835Z;8.2
313;2023-07-29T08:57:40.755918Z;8.3
314;2023-07-29T08:59:20.732987Z;8.4
315;2023-07-29T09:01:20.746210Z;8.5
316;2023-07-29T09:03:20.733799Z;8.6
317;2023-07-29T09:04:40.735127Z;8.7
318;2023-07-29T09:07:21.933862Z;8.8
319;2023-07-29T09:10:20.746910Z;8.9
320;2023-07-29T09:12:40.758365Z;9.0
321;2023-07-29T09:15:40.747198Z;9.1
322;2023-07-29T09:19:20.838330Z;9.2
323;2023-07-29T09:23:40.849406Z;9.3
324;2023-07-29T09:27:00.939013Z;9.4
325;2023-07-29T09:30:00.838918Z;9.5
326;2023-07-29T09:33:26.740120Z;9.6
327;2023-07-29T09:37:00.839526Z;9.7
328;2023-07-29T09:40:20.844458Z;9.8
329;2023-07-29T09:43:00.840415Z;9.9
330;2023-07-29T09:45:00.859949Z;10.0
331;2023-07-29T09:46:20.845401Z;10.1
332;2023-07-29T09:48:00.941562Z;10.2
333;2023-07-29T09:50:20.942941Z;10.3
334;2023-07-29T09:53:08.963306Z;10.4
335;2023-07-29T09:54:40.966683Z;10.5
336;2023-07-29T09:56:20.967749Z;10.6
337;2023-07-29T09:57:40.859619Z;10.7
338;2023-07-29T09:59:00.962657Z;10.8
339;2023-07-29T10:00:20.958278Z;10.9
340;2023-07-29T10:01:41.062883Z;11.0
341;2023-07-29T10:04:00.956764Z;11.1
342;2023-07-29T10:07:01.055325Z;11.2
343;2023-07-29T10:11:22.546856Z;11.3
344;2023-07-29T10:16:41.050653Z;11.4
345;2023-07-29T10:20:01.048366Z;11.5
346;2023-07-29T10:23:23.863131Z;11.5
347;2023-07-29T10:24:21.047887Z;11.6
348;2023-07-29T10:29:41.049077Z;11.7
349;2023-07-29T10:35:21.062000Z;11.8
350;2023-07-29T10:40:01.056383Z;11.9
351;2023-07-29T10:45:21.251398Z;12.0
352;2023-07-29T10:49:22.322498Z;12.1
353;2023-07-29T10:52:42.663506Z;12.2
354;2023-07-29T10:56:21.179070Z;12.3
355;2023-07-29T10:59:21.154356Z;12.4
356;2023-07-29T11:01:01.162591Z;12.5
357;2023-07-29T11:02:21.164071Z;12.6
358;2023-07-29T11:04:01.176077Z;12.7
359;2023-07-29T11:06:01.154218Z;12.8
360;2023-07-29T11:08:21.179532Z;12.9
361;2023-07-29T11:10:01.156081Z;13.0
362;2023-07-29T11:12:02.261448Z;13.1
363;2023-07-29T11:14:21.156829Z;13.2
364;2023-07-29T11:16:01.178693Z;13.3
365;2023-07-29T11:18:21.169431Z;13.4
366;2023-07-29T11:21:42.361419Z;13.5
367;2023-07-29T11:27:01.271492Z;13.6
368;2023-07-29T11:37:41.272607Z;13.7
369;2023-07-29T11:57:21.365348Z;13.8
370;2023-07-29T12:11:01.285995Z;13.9
371;2023-07-29T12:20:21.489211Z;14.0
372;2023-07-29T12:22:42.869140Z;14.1
373;2023-07-29T12:24:21.368280Z;14.2
374;2023-07-29T12:26:01.375012Z;14.3
375;2023-07-29T12:27:21.379243Z;14.4
376;2023-07-29T12:28:41.477185Z;14.5
377;2023-07-29T12:30:03.182796Z;14.6
378;2023-07-29T12:31:24.192426Z;14.7
379;2023-07-29T12:33:01.785091Z;14.8
380;2023-07-29T12:34:21.389788Z;14.9
381;2023-07-29T12:35:41.378304Z;15.0
382;2023-07-29T12:37:01.381501Z;15.1
383;2023-07-29T12:39:01.484536Z;15.2
384;2023-07-29T12:40:42.887505Z;15.3
385;2023-07-29T12:43:01.572299Z;15.4
386;2023-07-29T12:45:01.571970Z;15.5
387;2023-07-29T12:46:22.976337Z;15.6
388;2023-07-29T12:48:01.471987Z;15.7
389;2023-07-29T12:50:42.736649Z;15.8
390;2023-07-29T12:52:02.679160Z;15.9
391;2023-07-29T12:53:41.578781Z;16.0
392;2023-07-29T12:56:21.486145Z;16.1
393;2023-07-29T12:58:22.798530Z;16.2
394;2023-07-29T13:02:21.580120Z;16.3
395;2023-07-29T13:05:22.975242Z;16.4
396;2023-07-29T13:08:02.177723Z;16.5
397;2023-07-29T13:10:21.883280Z;16.6
398;2023-07-29T13:13:02.093566Z;16.7
399;2023-07-29T13:15:02.082860Z;16.8
400;2023-07-29T13:17:22.076977Z;16.9
401;2023-07-29T13:18:42.078239Z;17.0
402;2023-07-29T13:20:02.280835Z;17.1
403;2023-07-29T13:22:22.101585Z;17.2
404;2023-07-29T13:24:22.078873Z;17.3
405;2023-07-29T13:25:42.189667Z;17.4
406;2023-07-29T13:27:24.832854Z;17.5
407;2023-07-29T13:28:42.182144Z;17.6
408;2023-07-29T13:30:02.183271Z;17.7
409;2023-07-29T13:31:22.182765Z;17.8
410;2023-07-29T13:32:42.179800Z;17.9
411;2023-07-29T13:34:05.995658Z;18.0
412;2023-07-29T13:35:24.580805Z;18.1
413;2023-07-29T13:37:03.389539Z;18.2
414;2023-07-29T13:38:23.381763Z;18.3
415;2023-07-29T13:39:43.482365Z;18.4
416;2023-07-29T13:41:23.482375Z;18.5
417;2023-07-29T13:42:42.192243Z;18.6
418;2023-07-29T13:45:03.687889Z;18.7
419;2023-07-29T13:47:22.193910Z;18.8
420;2023-07-29T13:49:02.195093Z;18.9
421;2023-07-29T13:51:02.100410Z;19.0
422;2023-07-29T13:52:42.191872Z;19.1
423;2023-07-29T13:54:02.102118Z;19.2
424;2023-07-29T13:55:44.485149Z;19.3
425;2023-07-29T13:57:02.185207Z;19.4
426;2023-07-29T13:58:42.191349Z;19.5
427;2023-07-29T14:00:02.201226Z;19.6
428;2023-07-29T14:01:23.785800Z;19.7
429;2023-07-29T14:02:43.696479Z;19.8
430;2023-07-29T14:04:22.186182Z;19.9
431;2023-07-29T14:05:42.285533Z;20.0
432;2023-07-29T14:07:22.186835Z;20.1
433;2023-07-29T14:09:03.486481Z;20.2
434;2023-07-29T14:10:42.190946Z;20.3
435;2023-07-29T14:12:42.290146Z;20.4
436;2023-07-29T14:16:02.411897Z;20.5
437;2023-07-29T14:17:42.304040Z;20.6
438;2023-07-29T14:20:42.288567Z;20.7
439;2023-07-29T14:22:22.289542Z;20.8
440;2023-07-29T14:23:28.391232Z;20.9
441;2023-07-29T14:25:02.591886Z;21.0
442;2023-07-29T14:26:22.293184Z;21.1
443;2023-07-29T14:28:22.291134Z;21.2
444;2023-07-29T14:29:42.411083Z;21.3
445;2023-07-29T14:31:02.302835Z;21.4
446;2023-07-29T14:32:42.392832Z;21.5
447;2023-07-29T14:35:03.405507Z;21.6
448;2023-07-29T14:36:22.292599Z;21.7
449;2023-07-29T14:38:22.316712Z;21.8
